GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AVLtree_Evosuite,default,AVLTree.Node,0,9,0,0,0,3,0,1,0,1
AVLtree_Evosuite,default,AVLTree,86,229,10,30,17,53,10,25,1,14
